R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Miles Johns,Anderson Dos Santos,-235,190,42.55319149,190,07/08/2021,"Houston, Texas, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,2.7,0.25,0.7,0.98,0.14,1,2,7,0,0,0,0,0,1,0,1,Orthodox,165.1,177.8,135,0,1,0,4.03,0.53,0,0.99,0.3,2,1,11,0,0,1,1,1,0,0,3,Orthodox,170.18,167.64,135,27,36,0,0,-1,-2,1,-4,0,-1,1,-5.08,10.16,9,-1.33,0.7,-0.01,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3,01:16,676,120,350,1100,800,300,1000
Victoria Leonardo,Melissa Gatto,-105,-115,95.23809524,86.95652174,07/08/2021,"Houston, Texas, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,0,0,7,0.57,0,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,125,1,0,0,3.71,0.41,0,1.56,0.27,1,1,4,0,0,0,0,1,0,0,1,Orthodox,165.1,162.56,125,31,25,-1,0,-1,-1,-1,-4,0,-1,0,0,12.7,-6,3.29,0,-0.06,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,2,05:00,600,215,425,600,180,550,1000
Johnny Munoz,Jamey Simmons,-350,270,28.57142857,270,07/08/2021,"Houston, Texas, USA",USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,0.79,0.21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,135,1,0,0,2.79,0.42,2.7,2.66,0.21,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,135,28,28,0,0,0,0,0,-2,0,0,0,-7.62,-2.54,0,-2,-2.7,-2.66,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,02:35,455,250,550,110,1300,400,900
Uriah Hall,Sean Strickland,175,-210,175,47.61904762,31/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,5,0,4,0,5.45,0.4,0.3,1.32,0.61,4,3,33,0,0,2,4,3,1,0,10,Orthodox,185.42,193.04,185,0,4,0,3.47,0.49,0.2,0.58,0.38,4,7,37,0,0,1,1,8,0,0,10,Orthodox,182.88,200.66,185,37,30,0,0,0,0,-4,-4,0,-5,1,2.54,-7.62,-7,1.98,0.1,0.74,1,1,11,8,,,,,,,8,,,,,,,,,,,,,11,,,,,,,Red,U-DEC,,5,05:00,1500,650,225,2500,800,275,165
Cheyanne Buys,Gloria de Paula,-145,125,68.96551724,125,31/07/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.39,0.54,1,0,0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,115,1,0,0,4.32,0.54,0,0.48,0.33,1,1,6,0,0,0,1,0,0,0,1,Switch,160.02,160.02,115,26,26,0,0,0,0,0,0,0,0,0,5.08,10.16,0,-0.93,1,-0.48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1,01:00,60,100,200,800,1400,900,900
Niklas Stolze,Jared Gooden,-180,155,55.55555556,155,31/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,2,0,0,5.04,0.42,0,0.96,1,0,2,6,0,0,0,0,0,0,0,0,Orthodox,182.88,195.58,170,1,0,0,2.29,0.43,0,0.93,1,0,1,3,0,0,0,0,0,0,0,0,Switch,182.88,190.5,170,28,27,1,0,0,0,1,3,0,0,0,0,5.08,-1,2.75,0,0.03,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,01:08,68,180,300,600,1200,300,600
Collin Anglin,Melsik Baghdasaryan,135,-155,135,64.51612903,31/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,1,0,6.69,0.62,0,0,0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,175.26,177.8,145,0,1,0,5.18,0.54,0,2.75,0.8,1,0,3,0,0,0,1,0,0,0,1,Orthodox,175.26,180.34,145,28,29,0,0,0,0,0,0,0,0,0,0,-2.54,1,1.51,0,-2.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2,01:50,410,240,250,1000,850,650,225
Bryan Barberena,Jason Witt,-265,215,37.73584906,215,31/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,1,0,0,2.63,0.49,1.3,6.46,0.45,1,2,4,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,170,0,1,0,5.26,0.48,0.4,0.21,0.25,2,5,28,0,0,0,2,3,1,0,6,Southpaw,182.88,182.88,170,32,34,1,-1,-1,-5,-3,-24,0,-3,0,-5.08,-5.08,2,-2.63,0.9,6.25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,M-DEC,,3,05:00,900,300,500,550,750,120,850
Chris Gruetzemacher,Rafa Garcia,270,-350,270,28.57142857,31/07/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,1,0,0,4.13,0.34,0.5,2.5,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,155,1,0,0,6.93,0.56,0,0,0,2,3,12,0,0,0,1,2,0,0,3,Orthodox,172.72,172.72,155,35,26,0,0,-2,-3,-2,-9,0,-2,0,-2.54,5.08,-9,-2.8,0.5,2.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,05:00,900,450,165,1700,200,900,400
Jinh Yu Frey,Ashley Yoder,140,-160,140,62.5,31/07/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.08,0.39,0.6,1.2,0.3,2,6,27,0,0,1,2,0,0,0,3,Southpaw,170.18,175.26,115,0,1,0,2.86,0.44,0.5,0.78,0.37,1,2,9,0,0,0,1,0,0,0,1,Southpaw,160.02,165.1,115,36,33,1,-1,1,2,4,18,0,0,0,10.16,10.16,-3,0.22,0.1,0.42,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,05:00,900,180,100,1000,750,1400,1400
