R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Yan Xiaonan,Carla Esparza,-137,117,72.99270073,117,5/22/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,3,0,4,0,2.34,0.43,0.3,3.53,0.37,4,4,35,2,1,2,4,0,1,0,8,Orthodox,154.94,160.02,115,0,6,0,5.95,0.42,0,0.92,0.75,6,0,18,0,0,0,6,0,0,0,6,Orthodox,165.1,160.02,115,31,33,0,-2,-2,2,4,17,2,0,1,-10.16,0,2,-3.61,0.3,2.61,1,1,4,3,,,3,,,,,,,,,,11,,,4,,,,,,,,,,13,Red,KO/TKO,,,,,140,140,1200,800,525,1200
Justin Tafa,Jared Vanderaa,-178,157,56.17977528,157,5/22/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,1,0,0,5.59,0.49,0,0.53,1,1,1,3,0,0,0,0,1,0,0,1,Orthodox,193.04,203.2,260,1,0,0,5.15,0.55,0,0,0,1,2,5,0,0,0,0,1,0,0,1,Southpaw,182.88,187.96,264,27,29,0,0,0,0,-1,-2,0,0,0,10.16,15.24,2,0.44,0,0.53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,375,525,1400,900,110,350
Felicia Spencer,Norma Dumont,-178,157,56.17977528,157,5/22/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Featherweight,FEMALE,3,0,1,0,4.98,0.53,0,1.79,0.4,1,1,4,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,145,1,0,0,3.05,0.44,0.2,0.48,0.1,1,2,10,1,0,0,0,1,1,0,2,Orthodox,167.64,172.72,145,30,30,-1,1,0,-1,-1,-6,-1,-1,-1,2.54,-2.54,0,1.93,-0.2,1.31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,,,,185,240,285,900,700,800
Ricardo Ramos,Bill Algeo,125,-145,125,68.96551724,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,1,0,6.37,0.53,0,0.5,0.28,1,2,9,0,0,0,1,0,0,0,1,Switch,182.88,185.42,145,1,0,0,3.1,0.41,0.7,3.08,0.58,3,2,15,0,0,1,2,1,1,0,5,Orthodox,175.26,182.88,145,25,31,-1,1,-2,-4,0,-6,0,-1,-1,7.62,2.54,6,3.27,-0.7,-2.58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,225,175,450,850,700,500
Jack Hermansson,Edmen Shahbazyan,-132,112,75.75757576,112,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,1,0,0,3.46,0.49,0.7,2.97,0.4,5,1,10,0,0,1,0,3,1,0,5,Orthodox,187.96,187.96,185,1,0,0,4.86,0.45,0.6,2.09,0.36,4,4,26,0,0,0,2,3,3,0,8,Orthodox,185.42,195.58,185,32,23,0,0,1,-3,-3,-16,0,0,-2,2.54,-7.62,-9,-1.4,0.1,0.88,1,1,10,7,,,,,,,7,,,,,,,,,,,,,10,,,,,,,Red,U-DEC,,,,,400,525,185,1100,450,250
Ben Rothwell,Chris Barnett,-345,285,28.98550725,285,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,0,0,4.64,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,190.5,265,1,0,0,3.71,0.42,0.4,0.68,0.35,6,8,51,0,0,2,2,9,2,0,15,Orthodox,193.04,198.12,265,39,34,-1,0,-6,-15,-8,-51,0,-9,-2,-17.78,-7.62,-5,0.93,-0.4,-0.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,300,650,500,1800,100,600
Court McGee,Claudio Silva,105,-125,105,80,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,1,0,0,2.81,0.41,1.3,2.63,0.25,5,1,14,0,0,1,1,0,3,0,5,Southpaw,180.34,180.34,170,3,0,0,4.76,0.36,0.4,1.68,0.23,3,9,48,0,0,1,5,0,2,0,8,Orthodox,180.34,190.5,170,36,38,-2,0,2,-3,-8,-34,0,0,1,0,-10.16,2,-1.95,0.9,0.95,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,185,250,850,300,475,1000
Bruno Silva,Victor Rodriguez,-355,295,28.16901408,295,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,3,1,0,0,1.59,0.37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Switch,165.1,170.18,125,0,1,0,2.98,0.46,0,2.89,0.31,1,2,11,0,0,0,0,1,0,0,1,Orthodox,162.56,165.1,125,31,28,1,-1,-1,-1,-1,-10,0,-1,0,2.54,5.08,-3,-1.39,0,-2.89,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,250,600,300,1400,1000,725
Josh Culibao,Shayilan Nuerdanbieke,-235,195,42.55319149,195,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,0,0,1.13,0.26,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,1,0,1,2.92,0.43,0.4,0,0,0,1,5,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,145,26,27,-1,0,0,0,-1,-5,0,0,0,-5.08,-10.16,1,-1.79,-0.4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,125,,800,,285,
David Dvorak,Juancamilo Ronderos,-490,390,20.40816327,390,5/22/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,3,0,0,0,4.78,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,162.56,162.56,125,0,2,0,4.46,0.46,0.5,0,0,2,0,6,0,0,0,2,0,0,0,2,Orthodox,165.1,172.72,125,28,26,0,-2,-2,-2,0,-6,0,0,0,-2.54,-10.16,-2,0.32,-0.5,0,1,1,,11,,,,,,,,,,,,11,,,,,,,,,,,,,,,Red,SUB,,,,,185,700,575,550,135,2000
Rafael Alves,Damir Ismagulov,400,-500,400,20,5/22/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,3,0,3.75,0.43,0,1.75,0.36,3,0,9,0,0,0,3,0,0,0,3,Orthodox,177.8,187.96,155,0,1,0,2.01,0.46,1.3,0,0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,155,30,30,0,2,2,2,0,7,0,0,-1,5.08,15.24,0,1.74,-1.3,1.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,900,-125,900,750,1200,250
Charles Oliveira,Michael Chandler,-130,110,76.92307692,110,5/15/2021,"Houston, Texas, USA",USA,Red,TRUE,Lightweight,MALE,5,0,3,0,4.49,0.5,1.6,2.03,0.41,3,0,4,0,0,0,0,2,1,0,3,Orthodox,172.72,180.34,155,0,8,0,3.26,0.52,2.7,2.64,0.44,8,8,51,0,0,0,2,2,14,0,18,Orthodox,177.8,187.96,155,31,35,0,-5,-5,-15,-8,-47,0,0,-13,-5.08,-7.62,4,1.23,-1.1,-0.61,0,1,4,3,,,,,,,,,3,,,,,,,,,,,,,4,,,,,Red,KO/TKO,,,,,650,700,210,1200,400,150
Tony Ferguson,Beneil Dariush,127,-147,127,68.02721088,5/15/2021,"Houston, Texas, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,6,1,3.8,0.49,1,2.11,0.34,6,4,39,0,0,2,4,3,5,0,14,Southpaw,177.8,182.88,155,2,0,0,5.15,0.45,1.1,0.42,0.42,12,3,43,2,0,1,3,5,6,0,15,Orthodox,180.34,193.04,155,37,32,-2,6,-6,-1,1,-4,-2,-2,-1,-2.54,-10.16,-5,-1.35,-0.1,1.69,0,1,9,5,,,,,,,,,5,,,,,,,,,,,,,9,,,,,Red,U-DEC,,,,,400,175,700,550,425,375
Matt Schnell,Rogerio Bontorin,-165,145,60.60606061,145,5/15/2021,"Houston, Texas, USA",USA,Blue,FALSE,Bantamweight,MALE,3,2,0,0,2.82,0.53,1.2,1.68,0.43,3,2,10,0,0,1,0,1,1,0,3,Orthodox,165.1,170.18,125,0,1,0,4.23,0.38,1,0.39,0.33,4,3,14,0,0,2,1,0,2,0,5,Orthodox,172.72,177.8,125,31,29,2,-1,-1,-2,-1,-4,0,1,-1,-7.62,-7.62,-2,-1.41,0.2,1.29,0,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,9,,neither,U-DEC,,,,,190,425,550,400,400,575
Katlyn Chookagian,Viviane Araujo,-127,107,78.74015748,107,5/15/2021,"Houston, Texas, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,2,0,5.14,0.47,0.3,2.1,0.6,2,1,15,0,0,0,3,1,0,0,4,Orthodox,162.56,172.72,125,0,1,0,4.57,0.35,0.4,0.25,0.15,3,4,34,1,0,1,7,0,0,0,8,Orthodox,175.26,172.72,125,32,34,0,1,-1,-4,-3,-19,-1,1,0,-12.7,0,2,0.57,-0.1,1.85,0,1,7,2,2,,,,,,,,,,,,10,7,,,,,,,,,,,,,Red,U-DEC,,,,,100,180,1400,1000,1000,625
Shane Burgos,Edson Barboza,-147,127,68.02721088,127,5/15/2021,"Houston, Texas, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,1,0,4.16,0.44,0.1,0.42,0.44,4,9,61,0,1,1,6,7,0,0,15,Orthodox,180.34,190.5,145,1,0,0,7.29,0.49,0.1,0.27,1,3,2,22,0,0,1,2,2,1,0,6,Orthodox,180.34,190.5,145,30,35,-1,1,1,9,7,39,0,5,-1,0,0,5,-3.13,0,0.15,0,1,12,9,,,,,,,,,,9,,,,,,,,,,,,,12,,,,Red,KO/TKO,,,,,200,250,750,1600,275,400
Jacare Souza,Andre Muniz,-117,-103,85.47008547,97.08737864,5/15/2021,"Houston, Texas, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,4,0,2.16,0.58,2.3,3.12,0.4,4,0,8,0,0,0,2,0,2,0,4,Southpaw,185.42,198.12,185,3,0,0,2.53,0.47,1.3,2.57,0.39,8,8,62,0,0,0,4,5,10,0,19,Orthodox,185.42,182.88,185,41,31,-3,4,-4,-15,-8,-54,0,-5,-8,0,15.24,-10,-0.37,1,0.55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,260,300,500,650,400,375
Lando Vannata,Mike Grundy,105,-125,105,80,5/15/2021,"Houston, Texas, USA",USA,Red,FALSE,Featherweight,MALE,3,1,0,0,2.14,0.45,0.4,3.78,0.26,1,1,5,0,0,0,0,1,0,0,1,Orthodox,170.18,182.88,145,1,0,2,4.67,0.44,0.3,1.12,0.4,1,5,25,0,0,0,1,1,1,0,3,Orthodox,175.26,180.34,155,29,34,0,0,0,-2,-4,-20,0,0,-1,-5.08,2.54,5,-2.53,0.1,2.66,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,,,,250,200,750,500,375,600
Jordan Wright,Jamie Pickett,-108,-112,92.59259259,89.28571429,5/15/2021,"Houston, Texas, USA",USA,Red,FALSE,Middleweight,MALE,3,1,0,0,2.87,0.55,0.4,1.44,0.4,1,3,9,0,0,0,0,1,0,0,1,Orthodox,187.96,203.2,185,1,0,0,7.13,0.6,0,0,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,187.96,195.58,205,29,32,0,0,0,0,2,5,0,0,0,0,7.62,3,-4.26,0.4,1.44,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,375,400,600,1600,240,200
Andrea Lee,Antonina Shevchenko,100,-120,100,83.33333333,5/15/2021,"Houston, Texas, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,1,0,3.87,0.56,0.6,0.57,0.6,2,2,15,0,0,0,1,2,1,0,4,Southpaw,172.72,170.18,125,3,0,0,5.48,0.5,0.9,1.95,0.52,3,3,18,0,0,0,3,0,0,0,3,Orthodox,167.64,175.26,125,32,36,-3,1,-1,1,-1,-3,0,2,1,5.08,-5.08,4,-1.61,-0.3,-1.38,0,1,12,11,11,,,,,,,,,,,,,12,,,,,,,,,,,,,Red,SUB,,,,,165,125,800,800,1100,800
Gina Mazany,Priscila Cachoeira,-235,195,42.55319149,195,5/15/2021,"Houston, Texas, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,3.81,0.4,0,0,0,1,3,9,0,0,0,0,1,0,0,1,Orthodox,170.18,165.1,135,0,1,0,3.43,0.49,0.3,4.7,0.58,1,4,12,0,0,0,1,1,0,0,2,Southpaw,167.64,172.72,125,32,32,0,0,0,-1,-1,-3,0,0,0,2.54,-7.62,0,0.38,-0.3,-4.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,-105,400,725,1200,575,400
Kevin Aguilar,Tucker Lutz,120,-140,120,71.42857143,5/15/2021,"Houston, Texas, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,5.09,0.52,0.3,2.33,0.63,2,0,6,0,0,0,2,0,0,0,2,Orthodox,172.72,182.88,155,3,0,0,3.96,0.4,0,0.16,0.16,3,3,16,0,0,1,2,0,0,0,3,Orthodox,170.18,185.42,155,32,26,-3,2,-1,-1,-3,-10,0,0,0,2.54,-2.54,-6,1.13,0.3,2.17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,200,170,1200,1600,450,350
Christos Giagos,Sean Soriano,-225,185,44.44444444,185,5/15/2021,"Houston, Texas, USA",USA,Red,FALSE,Lightweight,MALE,3,3,0,0,3.49,0.61,0,1.08,0.42,0,3,8,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,0,1,0,2.93,0.41,0.5,3.38,0.41,2,4,19,0,0,0,3,0,1,0,4,Orthodox,177.8,180.34,155,31,31,3,-1,-2,-4,-1,-11,0,0,-1,-2.54,-2.54,0,0.56,-0.5,-2.3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,125,350,500,750,500,650
Marina Rodriguez,Michelle Waterson,-235,195,42.55319149,195,05/08/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,5,0,1,0,3.57,0.48,0.8,1.4,0.32,4,4,36,0,0,2,2,0,4,0,8,Orthodox,160.02,157.48,115,0,1,2,4.89,0.48,0.1,0.28,0.33,2,1,18,0,0,0,2,2,0,0,4,Orthodox,167.64,165.1,115,34,35,0,0,2,4,3,18,0,-2,4,-7.62,-7.62,1,-1.32,0.7,1.12,1,1,,,,,6,,,,,,,,,,,,,9,,,,,,,,,,,neither,U-DEC,,,,,135,260,800,800,300,1400
Donald Cerrone,Alex Morono,-150,130,66.66666667,130,05/08/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,1,0,0,5.05,0.42,0.4,0.43,0.25,3,4,29,0,0,1,4,1,1,0,7,Orthodox,180.34,182.88,170,4,0,0,4.43,0.46,1.2,1.18,0.33,8,15,103,1,0,0,9,10,10,0,29,Orthodox,185.42,185.42,170,38,30,-3,0,-5,-22,-11,-74,-1,-9,-9,-5.08,-2.54,-8,0.62,-0.8,-0.75,1,1,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,145,300,500,1000,425,600
Neil Magny,Geoff Neal,155,-200,155,50,05/08/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,1,0,0,4.42,0.48,0.2,0.6,0.5,6,1,15,0,0,0,1,4,1,0,6,Southpaw,180.34,190.5,170,1,0,0,3.67,0.46,0.3,2.44,0.42,7,7,66,0,0,1,10,5,1,0,17,Orthodox,190.5,203.2,170,33,30,0,0,-1,-11,-6,-51,0,-1,0,-10.16,-12.7,-3,0.75,-0.1,-1.84,1,1,10,9,,,,,,,,9,,,,,,,,,,,,,10,,,,,,Red,U-DEC,,,,,260,225,900,1400,675,175
Maurice Greene,Marcos Rogerio de Lima,157,-177,157,56.49717514,05/08/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,1,0,0,3.24,0.54,0.6,1.14,0.66,2,6,18,0,0,0,1,4,1,0,6,Orthodox,185.42,190.5,253,1,0,0,3.28,0.45,0.4,0,0,3,3,13,0,0,1,0,1,2,0,4,Orthodox,200.66,203.2,258,34,35,0,0,-1,2,3,5,0,3,-1,-15.24,-12.7,1,-0.04,0.2,1.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,575,600,400,600,475,125
Diego Ferreira,Gregor Gillespie,122,-142,122,70.42253521,05/08/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,3.74,0.52,0.8,6.86,0.48,6,1,12,0,0,0,1,3,2,0,6,Orthodox,170.18,180.34,155,1,0,0,4.7,0.37,0.8,0.81,0.24,6,3,24,0,0,0,3,3,2,0,8,Orthodox,175.26,187.96,155,36,34,0,0,0,-2,-2,-12,0,0,0,-5.08,-7.62,-2,-0.96,0,6.05,1,1,14,12,,,,,,,,,12,,,,,,,,,,,,,14,,,,,Red,KO/TKO,,,,,350,115,450,800,600,575
Phil Hawes,Kyle Daukaus,132,-152,132,65.78947368,05/08/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,1,0,3.23,0.53,1.2,1.75,0.29,1,1,9,0,0,0,2,0,0,0,2,Southpaw,190.5,193.04,185,0,3,0,3.44,0.58,0.4,2.7,0.38,3,1,7,0,1,0,0,2,0,0,3,Orthodox,182.88,195.58,185,32,28,0,-2,-2,-1,0,2,0,-2,0,7.62,-2.54,-4,-0.21,0.8,-0.95,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,500,325,1800,250,200,500
Ludovit Klein,Michael Trizano,-250,210,40,210,05/08/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,1,0,0,3.22,0.53,0.9,0.29,0.5,2,1,8,0,0,2,0,0,0,0,2,Orthodox,180.34,180.34,145,0,1,0,3.32,0.54,0,3.69,0.57,1,0,1,0,0,0,0,1,0,0,1,Southpaw,170.18,182.88,145,26,29,1,-1,1,1,1,7,0,-1,0,10.16,-2.54,3,-0.1,0.9,-3.4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,250,350,1000,1000,115,900
Junyong Park,Tafon Nchukwi,135,-155,135,64.51612903,05/08/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,2,0,6.08,0.51,0,0.41,0.25,2,0,5,0,0,0,1,1,0,0,2,Orthodox,182.88,195.58,205,0,2,0,4.37,0.47,0.6,3.02,0.57,2,1,8,0,0,0,2,0,0,0,2,Orthodox,177.8,185.42,185,30,26,0,0,0,0,-1,-3,0,1,0,5.08,10.16,-4,1.71,-0.6,-2.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,M-DEC,,,,,225,250,750,1000,700,205
Christian Aguilera,Carlston Harris,175,-210,175,47.61904762,05/08/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,0,0,0,1.74,0.38,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,1,0,0,2.54,0.37,0,0,0,1,1,3,0,0,0,0,1,0,0,1,Switch,175.26,182.88,170,29,33,-1,0,-1,-1,-1,-3,0,-1,0,7.62,10.16,4,-0.8,5.2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,425,275,1200,240,300,500
Dominick Reyes,Jiri Prochazka,-120,100,83.33333333,100,05/01/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Light Heavyweight,MALE,5,0,1,0,7.19,0.52,0,0.98,1,1,0,2,0,0,0,0,1,0,0,1,Orthodox,190.5,203.2,205,2,0,0,4.77,0.5,0.4,0.36,0.28,6,2,17,2,0,1,1,3,1,0,6,Southpaw,193.04,195.58,205,31,28,-2,1,-5,-5,-2,-15,-2,-2,-1,-2.54,7.62,-3,2.42,-0.4,0.62,1,1,5,3,,,,,,3,,,,,,,,,,,,,5,,,,,,,,Red,KO/TKO,,,,,550,650,1200,1600,175,115
Giga Chikadze,Cub Swanson,-220,180,45.45454545,180,05/01/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,2,0,4.63,0.5,0.5,1.08,0.51,6,10,72,0,0,1,9,5,2,0,17,Orthodox,172.72,177.8,145,0,5,0,3.55,0.44,0,0.38,0.33,5,1,16,0,0,2,2,1,0,0,5,Orthodox,182.88,187.96,145,32,37,0,-3,1,12,9,56,0,4,2,-10.16,-10.16,5,1.08,0.5,0.7,1,1,15,14,,,,,,,,,,14,,,,,,,,,,,,,15,,,,Red,KO/TKO,,,,,135,280,1800,750,300,550
Sean Strickland,Krzysztof Jotko,-245,205,40.81632653,205,05/01/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,3,0,2.94,0.41,0.1,1.16,0.34,5,4,35,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,185,0,3,0,5.14,0.39,0.4,1.14,0.6,3,3,30,0,0,2,3,3,1,0,9,Orthodox,185.42,193.04,185,30,31,0,0,2,0,1,5,0,-2,-1,0,2.54,1,-2.2,-0.3,0.02,1,1,,15,,,,,,,15,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,,,,140,375,1100,1200,225,600
Merab Dvalishvili,Cody Stamann,-290,245,34.48275862,245,05/01/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,1,0,1,4.03,0.46,0,2.8,0.44,3,2,23,0,0,2,3,0,0,0,5,Orthodox,167.64,162.56,145,0,5,0,4.02,0.39,0.4,7.38,0.43,5,2,21,0,0,0,5,0,0,0,5,Orthodox,167.64,172.72,135,30,31,1,-5,-2,0,0,2,0,0,0,0,-10.16,1,0.01,-0.4,-4.58,1,1,13,12,,,,,,,,,,,12,,,,,,,,,,,,,13,,,Red,U-DEC,,,,,-145,325,700,1200,850,750
Randa Markos,Luana Pinheiro,135,-155,135,64.51612903,05/01/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,3,0,1,0,5.52,0.5,0,10.61,0.83,1,0,1,0,0,0,0,1,0,0,1,Orthodox,157.48,157.48,115,3,0,1,2.87,0.42,0.2,1.2,0.28,1,9,42,0,0,2,3,0,1,0,6,Orthodox,162.56,160.02,115,35,28,-3,1,0,-5,-9,-41,0,1,-1,-5.08,-2.54,-7,2.65,-0.2,9.41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,DQ,,,,,200,165,700,400,1200,550
Kai Kamaka,TJ Brown,-162,142,61.72839506,142,05/01/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,2,0,0,3.87,0.4,0.6,4.07,0.58,1,2,8,0,0,0,0,0,1,0,1,Switch,175.26,182.88,145,1,0,0,5.63,0.56,0.4,2.66,0.77,1,1,5,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,145,26,30,1,0,0,0,1,3,0,0,1,5.08,7.62,4,-1.76,0.2,1.41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,,,,,300,,400,,650
Poliana Botelho,Luana Carolina,-245,205,40.81632653,205,05/01/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,4.8,0.51,1.6,0,0,2,1,7,0,0,0,2,0,0,0,2,Orthodox,167.64,175.26,125,1,0,0,2.83,0.57,0,0.92,0.57,2,2,11,0,0,0,2,1,0,0,3,Orthodox,172.72,170.18,115,32,27,0,0,0,-1,-1,-4,0,-1,0,-5.08,5.08,-5,1.97,1.6,-0.92,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,,,,-105,325,450,1200,550,1000
Loma Lookboonmee,Sam Hughes,-420,335,23.80952381,335,05/01/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.45,0.54,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,115,0,1,0,5.27,0.58,0,1.5,0.37,1,1,9,0,0,1,1,0,0,0,2,Orthodox,154.94,154.94,115,25,28,1,-1,-1,-2,0,-8,0,0,0,10.16,7.62,3,-1.82,0,-1.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,-140,450,1100,950,340,1400
Andreas Michailidis,KB Bhullar,-190,165,52.63157895,165,05/01/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,1,0,0,4.31,0.49,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Switch,193.04,198.12,185,1,0,0,4.8,0.52,0,0.75,0.5,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,185,32,29,0,0,0,0,0,0,0,0,0,10.16,5.08,-3,-0.49,0,-0.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,375,475,1100,800,-110,650
